Watson Second Report of Dr.,watson second report of dr,watson second report of dr
I read his record aloud.,i read his record aloud,i read his record aloud
"I came to you, Mr.",i came to you mr,i came to you mr
"""In doing so,"" said Dr.",in doing so said dr,in doing so said dr
With the exception of Mr.,with the exception of mr,with the exception of mr
He did not observe any.,he did not observe any,he did not observe any
He comes in fifty minutes.,he comes in fifty minutes,he comes in fifty minutes
"""Only one more question, Dr.",only one more question dr,only one more question dr
"""Caught cold, Watson?"" said he.",caught cold watson said he,caught cold watson said he
That night he waited there.,that night he waited there,that night he waited there
"The thing takes shape, Watson.",the thing takes shape watson,the thing takes shape watson
"""No one could have known.",no one could have known,no one could have known
"Mortimer, ""it is only mislaid.",mortimer it is only mislaid,mortimer it is only mislaid
Here are twenty-three shillings.,here are twenty three shillings,here are twenty three shillings
"Well, have you got it?",well have you got it,well have you got it
"You did not know, Dr.",you did not know dr,you did not know dr
"And one more question, Dr.",and one more question dr,and one more question dr
"""My missing boot!"" he cried.",my missing boot he cried,my missing boot he cried
I've been checkmated in London.,i've been checkmated in london,i've been checkmated in london
There are two moorland farmers.,there are two moorland farmers,there are two moorland farmers
There is our friend Dr.,there is our friend dr,there is our friend dr
Why had he done this?,why had he done this,why had he done this
"""Didn't he get the telegram?",didn't he get the telegram,didn't he get the telegram
"""You are an educated man.",you are an educated man,you are an educated man
"Oh, excuse me an instant!",oh excuse me an instant,oh excuse me an instant
"Hush, my brother is coming!",hush my brother is coming,hush my brother is coming
"""I talked as if Dr.",i talked as if dr,i talked as if dr
"Will you come upstairs, Dr.",will you come upstairs dr,will you come upstairs dr
That is Sir Henry's nature.,that is sir henry's nature,that is sir henry's nature
Barrymore said that he had.,barrymore said that he had,barrymore said that he had
What has he against me?,what has he against me,what has he against me
"""It was the window, sir.",it was the window sir,it was the window sir
"""There it is!"" I cried.",there it is i cried,there it is i cried
"""See, the other moves also!",see the other moves also,see the other moves also
"""We have to go, Eliza.",we have to go eliza,we have to go eliza
Forget what I have said.,forget what i have said,forget what i have said
"""I will come,"" said I.",i will come said i,i will come said i
"""Are you armed?"" I asked.",are you armed i asked,are you armed i asked
I am not a child.,i am not a child,i am not a child
It was not the convict.,it was not the convict,it was not the convict
He is silent and distrait.,he is silent and distrait,he is silent and distrait
No more than you have.,no more than you have,no more than you have
We have gained that much.,we have gained that much,we have gained that much
"""She is Frankland's daughter."" ""What!",she is frankland's daughter what,she is frankland's daughter what
"Old Frankland the crank?"" ""Exactly.",old frankland the crank exactly,old frankland the crank exactly
I gave a trifle myself.,i gave a trifle myself,i gave a trifle myself
"I don't like it, Dr.",i don't like it dr,i don't like it dr
"""Now, listen to me, Barrymore!",now listen to me barrymore,now listen to me barrymore
But the second was criticism.,but the second was criticism,but the second was criticism
"""Well, I'll answer,"" she said.",well i'll answer she said,well i'll answer she said
Lyons flushed with anger again.,lyons flushed with anger again,lyons flushed with anger again
He did burn the letter.,he did burn the letter,he did burn the letter
Why should I deny it?,why should i deny it,why should i deny it
"Morland, Court of Queen's Bench.",morland court of queen's bench,morland court of queen's bench
The case of Frankland v.,the case of frankland v,the case of frankland v
Surely you are not going!,surely you are not going,surely you are not going
"Laura Lyons?"" ""Exactly."" ""Well done!",laura lyons exactly well done,laura lyons exactly well done
What does man want more?,what does man want more,what does man want more
"""Oh, my God!"" I gasped.",oh my god i gasped,oh my god i gasped
"""He has beaten us, Watson.",he has beaten us watson,he has beaten us watson
"And Stapleton, where is he?",and stapleton where is he,and stapleton where is he
I will see to that.,i will see to that,i will see to that
"These were hidden fires, indeed!",these were hidden fires indeed,these were hidden fires indeed
"But, dear me, what's this?",but dear me what's this,but dear me what's this
"""Who--who's this?"" he stammered.",who who's this he stammered,who who's this he stammered
What a very shocking affair!,what a very shocking affair,what a very shocking affair
Then he turned to me.,then he turned to me,then he turned to me
We never saw the hound.,we never saw the hound,we never saw the hound
"But one last word, Watson.",but one last word watson,but one last word watson
That will be easily arranged.,that will be easily arranged,that will be easily arranged
"""Ha, you see it now.",ha you see it now,ha you see it now
Coming down with unsigned warrant.,coming down with unsigned warrant,coming down with unsigned warrant
Lyons had resumed her seat.,lyons had resumed her seat,lyons had resumed her seat
"""His wife!"" she said again.",his wife she said again,his wife she said again
"""I knew him,"" she said.",i knew him she said,i knew him she said
"""This will do,"" said he.",this will do said he,this will do said he
"Get into this hollow, Lestrade.",get into this hollow lestrade,get into this hollow lestrade
It is already ten o'clock.,it is already ten o'clock,it is already ten o'clock
The giant hound was dead.,the giant hound was dead,the giant hound was dead
"""I can hear a movement.",i can hear a movement,i can hear a movement
"""Here, Lestrade, your brandy-bottle!",here lestrade your brandy bottle,here lestrade your brandy bottle
